case_id,alpha_deg,case_role,accepted,accepted_result_source,final_iteration,Cl_SU2,Cd_SU2,rms_pressure_log10,rms_nu_tilde_log10,continuation_used,notes,history_rows,history_final_iteration,Cl_drift_last_50,Cl_drift_pct_last_50,Cd_drift_last_50,Cd_drift_pct_last_50,Cl_drift_last_100,Cl_drift_pct_last_100,Cd_drift_last_100,Cd_drift_pct_last_100,Cl_drift_last_200,Cl_drift_pct_last_200,Cd_drift_last_200,Cd_drift_pct_last_200,Cl_drift_last_500,Cl_drift_pct_last_500,Cd_drift_last_500,Cd_drift_pct_last_500,Cl_drift_last_1000,Cl_drift_pct_last_1000,Cd_drift_last_1000,Cd_drift_pct_last_1000,Cl_Exp,Cl_Exp_pct_diff,Cl_Fluent,Cl_Fluent_pct_diff,Cl_TAU,Cl_TAU_pct_diff,Cd_Exp,Cd_Exp_pct_diff,Cd_Fluent,Cd_Fluent_pct_diff,Cd_TAU,Cd_TAU_pct_diff,Cl_CFL3D,Cl_CFL3D_pct_diff,Cd_CFL3D,Cd_CFL3D_pct_diff
alpha_m4p04,-4.04,attached_sweep,True,Public package includes processed summary data for alpha_m4p04; local absolute run paths removed.,2999,-0.446233,0.008797,-7.250643,-9.997879,False,second negative Phase 3 case completed; Cl=-0.446233 Cd=0.008797 at 3000 iterations,3000,2999,0.000456,-0.1021887668549865,4.099999999999937e-05,0.46606797771967,0.00114,-0.2554719171374662,7.999999999999848e-05,0.9094009321359382,0.0029049999999999,-0.6510051923546647,0.0001019999999999,1.1594861884733394,-0.0009959999999999,0.223201780235885,-0.000125,-1.4209389564624315,-0.0010419999999999,0.2335102961905523,-0.000395,-4.490167102421295,-0.4417,1.02626,-0.4466,-0.0821764,-0.4571,-2.37738,0.00871,0.998852,0.00874,0.652174,0.00907,-3.00992,,,,
alpha_m2p14,-2.14,attached_sweep,True,Public package includes processed summary data for alpha_m2p14; local absolute run paths removed.,2999,-0.233193,0.008551,-7.346496,-9.452963,False,first negative Phase 3 case completed; Cl=-0.233193 Cd=0.008551 at 3000 iterations,3000,2999,0.0002459999999999,-0.1054920173418568,1.4999999999999389e-05,0.1754180797567464,0.0005619999999999,-0.2410020883988709,2.8000000000000247e-05,0.3274470822126096,0.0012359999999999,-0.530033062742015,5.099999999999896e-05,0.5964214711729501,0.0034789999999999,-1.491897269643592,0.0001099999999999,1.2863992515495146,0.0071799999999999,-3.078994652498141,5.999999999999929e-05,0.7016723190270061,-0.2385,-2.22516,-0.2375,-1.81347,-0.2428,-3.95675,0.008,6.8875,0.00834,2.52998,0.00858,-0.337995,,,,
alpha_0_baseline,0.0,open_source_su2_baseline,True,Public package includes processed summary data for alpha_0_baseline; local absolute run paths removed.,1999,-3e-06,0.008448,-9.546991,-9.503154,True,Alpha zero clean-exit restart baseline.,2000,1999,0.0,-0.0,-9.999999999992654e-07,-0.0118371212121125,0.0,-0.0,-1.9999999999985307e-06,-0.023674242424225,0.0,-0.0,-3.999999999998796e-06,-0.0473484848484705,0.0,-0.0,-9.999999999999593e-06,-0.1183712121212072,0.0,-0.0,-2.1000000000000185e-05,-0.2485795454545476,,,,,,,,,,,,,,,,
alpha_p2p05,2.05,first_test,True,Public package includes processed summary data for alpha_p2p05; local absolute run paths removed.,2999,0.2234,0.008543,-7.092317,-9.428419,False,first nonzero Phase 3 case completed; Cl=0.2234 Cd=0.008543 at 3000 iterations,3000,2999,-0.000197,-0.0881826320501355,1.1999999999999858e-05,0.1404658784970134,-0.000426,-0.1906893464637465,2.300000000000045e-05,0.2692262671192842,-0.000903,-0.404207699194277,4.400000000000064e-05,0.5150415544890627,-0.003211,-1.4373321396598118,0.000105,1.229076436848893,-0.007033,-3.148164726947185,6.800000000000035e-05,0.7959733114830897,0.2125,5.12941,0.2273,-1.71579,0.2374,-5.89722,0.00816,4.69363,0.00834,2.43405,0.00857,-0.315053,,,,
alpha_p4p04,4.04,attached_sweep,True,Public package includes processed summary data for alpha_p4p04; local absolute run paths removed.,2999,0.446198,0.008783,-7.228706,-9.990145,False,second nonzero Phase 3 case completed; Cl=0.446198 Cd=0.008783 at 3000 iterations,3000,2999,-0.000497,-0.1113855283977125,4.199999999999864e-05,0.4781965159967965,-0.001223,-0.2740935638438607,8.099999999999948e-05,0.922236137993846,-0.003051,-0.68377715722617,9.89999999999984e-05,1.1271775019924672,0.001083,0.2427173586614016,-0.000133,-1.5142889673232516,0.0013349999999999,0.2991945279898106,-0.000432,-4.918592735967211,0.4316,3.3823,0.4465,-0.0676372,0.4566,-2.27814,0.00823,6.71932,0.00873,0.607102,0.00919,-4.42873,,,,
alpha_p6p09,6.09,attached_sweep,True,Public package includes processed summary data for alpha_p6p09; local absolute run paths removed.,1999,0.672905,0.009712,-7.387208,-10.471514,True,third nonzero Phase 3 case completed with 2000-iteration continuation; Cl=0.672905 Cd=0.009712 accepted,2000,1999,0.0001639999999999,0.0243719395754143,2.000000000000265e-06,0.0205930807248791,0.0002799999999999,0.0416106285433972,2.999999999999531e-06,0.0308896210873098,0.000495,0.0735616468892374,-1.2999999999999123e-05,-0.1338550247116878,0.0022069999999999,0.327980918554619,-5.699999999999976e-05,-0.586902800658976,0.0031099999999999,0.4621751956070985,3.799999999999984e-05,0.3912685337726507,0.6546,2.79636,0.6692,0.553646,0.6838,-1.5933,0.00885,9.74011,0.00951,2.12408,0.01027,-5.4333,,,,
alpha_p8p30,8.3,attached_sweep,True,Public package includes processed summary data for alpha_p8p30; local absolute run paths removed.,1999,0.905927,0.011109,-6.982125,-10.558214,True,fourth nonzero Phase 3 case completed with 2000-iteration continuation; Cl=0.905927 Cd=0.011109 accepted,2000,1999,0.000294,0.0324529459879235,1.000000000001e-06,0.0090017103249707,0.0005399999999999,0.0596074518145485,1.600000000000039e-05,0.1440273651993913,0.000759,0.0837815850504582,7.500000000000041e-05,0.6751282743721344,0.000484,0.0534259382930456,0.000106,0.9541812944459463,5.300000000008076e-05,0.0058503610114369,0.000209,1.881357457917012,0.8873,2.09929,0.9023,0.401973,0.922,-1.74328,0.0105,5.8,0.01094,1.54479,0.01208,-8.03808,,,,
alpha_p10p12,10.12,attached_sweep,True,Public package includes processed summary data for alpha_p10p12; local absolute run paths removed.,1999,1.09304,0.012692,-7.091951,-10.685637,True,higher-alpha Phase 3 case completed with 2000-iteration continuation; Cl=1.093040 Cd=0.012692 accepted,2000,1999,8.500000000011276e-05,0.0077764766156876,3.500000000000031e-05,0.2757642609517831,6.799999999995698e-05,0.0062211812925379,7.500000000000041e-05,0.5909234163252475,-0.000186,-0.0170167605943075,0.000132,1.0400252127324312,3.700000000006476e-05,0.0033850545268301,-1.8000000000000654e-05,-0.1418216199180637,-0.0003269999999999,-0.0299165629803087,0.000132,1.0400252127324312,1.0707,2.08649,1.0857,0.676062,1.0912,0.168622,0.01201,5.6786,0.01282,-0.99844,0.01405,-9.66548,1.0909,0.196168,0.01231,3.10317
alpha_p11p13,11.13,attached_sweep,True,Public package includes processed summary data for alpha_p11p13; local absolute run paths removed.,1999,1.195696,0.013809,-7.48812,-10.921694,True,higher-alpha Phase 3 case completed with 2000-iteration continuation; Cl=1.195696 Cd=0.013809 accepted with high-drag caveat,2000,1999,3.0000000001972893e-06,0.000250899894304,2.000000000000092e-05,0.1448330798754502,-3.0999999999892225e-05,-0.0025926322409619,3.500000000000031e-05,0.2534578897820284,-0.0001269999999999,-0.0106214288581703,3.799999999999984e-05,0.2751828517633415,0.0004110000000001,0.0343732855174025,-4.400000000000064e-05,-0.3186327757259804,-4.099999999995774e-05,-0.0034289652219257,3.399999999999931e-05,0.246216235788249,1.1685,2.32743,1.1814,1.21009,1.1725,1.97834,0.01239,11.4528,0.01226,12.6346,0.01232,12.086,,,,
alpha_p12p12,12.12,attached_sweep,True,Public package includes processed summary data for alpha_p12p12; local absolute run paths removed.,1999,1.291498,0.01523,-7.611476,-11.112282,True,higher-alpha Phase 3 case completed with 2000-iteration continuation; Cl=1.291498 Cd=0.015230 accepted with high-drag caveat,2000,1999,-5.000000000032756e-06,-0.0003871473281439,1.0000000000001327e-05,0.0656598818122214,-2.2999999999884224e-05,-0.0017808777094416,1.5000000000001124e-05,0.0984898227183264,-3.399999999986747e-05,-0.0026326018313514,7.000000000000062e-06,0.0459619172685493,0.000312,0.0241579932760321,4.60000000000009e-05,0.3020354563361845,-8.799999999986596e-05,-0.0068137929752787,-2.1000000000000185e-05,-0.1378857518056479,1.2605,2.45918,1.2702,1.67674,1.2813,0.79591,0.01332,14.3393,0.01407,8.24449,0.01485,2.55892,,,,
